institution_id,short_name,tier,fye,n_years,year_span,geo_return,real_geo_return,volatility,sharpe,sortino,max_drawdown,gfc_recovery_years,excess_vs_6040,excess_vs_sp500,dotcom_fy01_02,gfc_fy08_09,covid_fy20,rate_shock_fy22_23,composite_partial,ranked
amherst,Amherst,lac,06-30,0,-,,,,,,,6,,,,,,,,False
berkeley,Berkeley,public,06-30,0,-,,,,,,,,,,,,,,,False
brown,Brown,ivy,06-30,11,2009-2024,7.198047771609217,4.675219676679165,17.985883353341308,0.3866163383264998,0.9502708117485418,-23.099999999999998,6,1.7509090909090907,-1.481818181818182,,,12.1,-2.0242000000000093,8.6,True
columbia,Columbia,ivy,06-30,15,2009-2024,7.901804348749586,5.3236149650981,12.055988434917195,0.6120886207854112,1.540760015732006,-16.1,3,-0.5466666666666669,-4.666666666666667,,,5.499999999999994,-3.2572000000000045,30.0,True
cornell,Cornell,ivy,06-30,6,2009-2022,1.2185355414459753,-1.4021390757233188,21.99476452855694,0.102372847126561,0.20578820190088273,-28.442,6,-0.7066666666666669,-1.2333333333333334,,,1.8999999999999906,,,False
dartmouth,Dartmouth,ivy,06-30,6,2009-2022,6.7673607277176195,3.6804683931288995,21.83423153368734,0.342275995461666,0.8956900321141241,-19.599999999999994,5,4.113333333333333,2.4666666666666663,,,7.600000000000007,,,False
duke,Duke,elite_private,06-30,4,2019-2022,13.38937993024636,8.90131346273697,27.167137010243337,0.5313404940151514,13.373769246650731,-1.500000000000004,6,7.685,3.4750000000000005,,,0.6999999999999895,,,False
grinnell,Grinnell,lac,06-30,0,-,,,,,,,6,,,,,,,,False
harvard,Harvard,ivy,06-30,25,2000-2024,8.93443132910896,6.189577711028793,12.545476608456665,0.6202076049271107,1.3285998063269882,-27.300000000000008,7,2.7563999999999997,0.8059999999999998,-3.186500000000003,-21.047799999999995,7.299999999999995,1.0477999999999987,28.6,True
mit,MIT,elite_private,06-30,19,2006-2024,10.082094702874421,7.328610489850673,14.979892956308337,0.6302132026793875,1.7724524635119712,-20.699999999999992,4,2.7884210526315787,-0.6578947368421053,,-18.16239999999999,8.299999999999997,-8.046300000000006,58.6,True
northwestern,Northwestern,elite_private,08-31,1,2021-2021,42.20000000000002,34.9146110056926,,,,0.0,5,17.840000000000003,1.4000000000000057,,,,,,False
penn,Penn,ivy,06-30,14,2009-2022,8.818294009997185,6.475977463696103,12.922006104248743,0.6946621522239593,2.06143947424003,-15.700000000000003,3,1.3500000000000003,-2.0071428571428567,,,3.400000000000003,,58.6,True
pomona,Pomona,lac,06-30,0,-,,,,,,,6,,,,,,,,False
princeton,Princeton,ivy,06-30,22,2000-2024,11.21064088656507,8.342720791826498,14.200332292923191,0.728119965171394,1.9310236834961234,-23.699999999999996,3,3.8927272727272726,0.5363636363636358,,-19.4272,5.600000000000005,-3.1745000000000023,85.7,True
rice,Rice,elite_private,06-30,0,-,,,,,,,6,,,,,,,,False
stanford,Stanford,elite_private,08-31,14,2007-2021,9.548790262887351,7.6546061223393025,14.774859847608827,0.65589212931063,1.373068664383363,-25.900000000000006,5,0.5728571428571428,-3.2071428571428577,,,5.600000000000005,,51.4,True
swarthmore,Swarthmore,lac,06-30,0,-,,,,,,,6,,,,,,,,False
tamu_system,Texas A&M,public,08-31,0,-,,,,,,,6,,,,,,,,False
uchicago,UChicago,elite_private,06-30,1,2021-2021,37.59999999999999,30.550284629981018,,,,0.0,5,13.240000000000002,-3.1999999999999957,,,,,,False
umich,Michigan,public,06-30,1,2021-2021,40.600000000000016,33.396584440227706,,,,0.0,3,16.240000000000002,-0.19999999999999574,,,,,,False
ut_system,UT System,public,08-31,0,-,,,,,,,6,,,,,,,,False
uva,UVA,public,06-30,1,2021-2021,49.0,41.3662239089184,,,,0.0,6,24.64,8.200000000000003,,,,,,False
williams,Williams,lac,06-30,1,2021-2021,49.90000000000001,42.22011385199242,,,,0.0,6,25.54,9.100000000000001,,,,,,False
yale,Yale,ivy,06-30,25,2000-2024,11.195328188785304,8.393506072777779,13.4668877869635,0.7501956027123003,1.997443521291394,-24.6,6,5.0784,3.1279999999999997,9.964400000000007,-21.207000000000008,6.800000000000006,2.6143999999999945,78.6,True
